  75.37065,1538471498.11262
  75.30589,1538471500.11361
  75.25829,1538471502.11560
  73.80129,1538471504.11738
  73.02292,1538471506.11438
  71.33251,1538471508.11762
  71.77764,1538471510.11460
  70.12705,1538471512.11460
  70.99094,1538471514.11661
  72.55820,1538471516.11361
  73.23204,1538471518.11862
  71.84646,1538471520.11962
  71.11625,1538471522.11555
  76.03076,1538471524.11362
  77.11431,1538471526.11462
  79.44553,1538471528.11554
  80.64125,1538471530.11563
  81.88439,1538471532.11363
  82.29856,1538471534.09922
  82.58341,1538471536.09863
  82.51914,1538471538.10059
  82.38068,1538471540.10355
  80.41814,1538471542.09762
  76.85548,1538471544.09793
  72.27322,1538471546.09764
  68.58002,1538471548.09764
  69.75963,1538471550.10365
  62.48883,1538471552.09859
  62.60987,1538471554.10369
  63.39516,1538471556.09757
  65.90486,1538471558.09766
  50.64620,1538471560.09864
  32.57861,1538471562.10366
  28.66428,1538471564.09808
  22.18524,1538471566.10362
  25.79825,1538471568.10266
  23.71577,1538471570.09967
  19.66506,1538471572.09761
  22.70739,1538471574.08157
  19.19128,1538471576.08166
  21.85664,1538471578.08068
  27.16445,1538471580.08658
  26.70995,1538471582.08442
  36.49818,1538471584.08768
  48.66535,1538471586.08435
  53.90884,1538471588.08161
  47.90370,1538471590.08159
  53.02941,1538471592.08167
  61.82949,1538471594.08065
  68.69206,1538471596.08160
  72.07750,1538471598.08526
  75.29710,1538471600.08168
  76.61107,1538471602.08561
  74.69504,1538471604.08670
  79.38929,1538471606.08163
  79.42144,1538471608.08189
  79.05153,1538471610.08169
  80.60731,1538471612.08770
  80.52761,1538471614.06463
  79.88281,1538471616.06471
  79.31187,1538471618.06471
  79.42047,1538471620.07171
  78.35227,1538471622.07170
  78.42728,1538471624.06563
  77.57481,1538471626.06671
  73.63229,1538471628.06671
  67.10476,1538471630.06566
  59.19545,1538471632.06469
  55.01724,1538471634.06672
  55.66952,1538471636.07171
  36.85419,1538471638.07172
  46.98436,1538471640.06668
  37.46511,1538471642.06818
  28.22169,1538471644.07073
  27.25166,1538471646.06874
  21.55612,1538471648.06661
  19.20869,1538471650.06580
  20.02040,1538471652.04974
  22.45627,1538471654.05573
  25.05884,1538471656.05254
  31.65552,1538471658.05188
  36.65321,1538471660.05072
  46.49841,1538471662.05010
  42.48306,1538471664.05175
  46.43587,1538471666.04980
  49.16431,1538471668.04970
  53.88944,1538471670.04975
  59.19757,1538471672.05183
  66.32527,1538471674.05568
  68.40088,1538471676.05575
  77.49508,1538471678.05467
  76.52509,1538471680.05560
  73.01281,1538471682.05232
  73.11137,1538471684.05075
  76.74849,1538471686.05576
  78.21398,1538471688.05370
  78.99473,1538471690.05576
  80.31108,1538471692.03270
  80.88248,1538471694.03368
  80.64723,1538471696.03377
  78.75124,1538471698.03369
  77.20210,1538471700.03476
  73.27775,1538471702.03345
  74.15880,1538471704.03378
  72.40562,1538471706.03779
  69.52288,1538471708.03274
  70.37990,1538471710.04031
  69.33538,1538471712.03980
  59.65584,1538471714.03280
  54.80826,1538471716.03477
  47.77836,1538471718.03379
  47.50546,1538471720.03478
  30.27829,1538471722.03426
  21.81516,1538471724.03279
  19.14707,1538471726.03771
  19.08566,1538471728.03656
  19.20126,1538471730.03600
  19.14003,1538471732.01676
  20.32807,1538471734.01681
  20.15462,1538471736.01682
  20.37083,1538471738.02370
  21.69015,1538471740.02266
  36.97447,1538471742.02178
  48.83388,1538471744.01879
  53.24583,1538471746.01981
  56.33399,1538471748.01773
  60.46490,1538471750.01777
  66.68880,1538471752.01982
  66.10122,1538471754.01881
  68.70571,1538471756.02382
  70.79052,1538471758.01977
  78.20430,1538471760.02074
  80.98286,1538471762.01984
  79.30519,1538471764.01782
  81.69914,1538471766.01775
  82.08920,1538471768.01882
  81.75377,1538471770.00084
  80.73493,1538471772.00183
  80.30007,1538471774.00784
  79.08554,1538471776.00780
  75.67264,1538471778.00183
  73.90784,1538471780.00422
  69.57688,1538471782.00179
  72.25055,1538471784.00065
  67.34226,1538471786.00283
  64.85531,1538471788.00411
  65.01022,1538471790.00185
  57.69389,1538471792.00685
  63.11482,1538471794.00275
  47.60819,1538471796.00185
  48.95156,1538471798.00759
  34.59702,1538471800.00185
  27.08849,1538471802.00282
  31.13885,1538471804.00185
  34.67370,1538471806.00474
  42.35845,1538471808.00084
