  42.71437,1538496488.05239
  43.67704,1538496490.07488
  41.84261,1538496492.14642
  48.74376,1538496494.00647
  55.81319,1538496496.09622
  56.79022,1538496498.03487
  57.96282,1538496500.04799
  54.20396,1538496502.03527
  49.29542,1538496504.04171
  56.76986,1538496506.16285
  59.53991,1538496508.09059
  60.16300,1538496510.01623
  63.83570,1538496512.14341
  70.07059,1538496514.10160
  73.07631,1538496516.09198
  67.90407,1538496518.00807
  72.11213,1538496520.02374
  80.62991,1538496522.19300
  84.41604,1538496524.09108
  88.68216,1538496526.17426
  90.51564,1538496528.06784
  89.16732,1538496530.16352
  89.43944,1538496532.04721
  91.62041,1538496534.17787
  92.10782,1538496536.05985
  92.12900,1538496538.12294
  92.97541,1538496540.23758
  92.89618,1538496542.12259
  92.79810,1538496544.03258
  91.58487,1538496546.14720
  87.30567,1538496548.05418
  84.73492,1538496550.19503
  79.87355,1538496552.09735
  70.44318,1538496554.23770
  71.48228,1538496556.14514
  60.85310,1538496558.08282
  47.16574,1538496560.01062
  29.95923,1538496562.09466
  31.63478,1538496564.11146
  37.28224,1538496566.16369
  26.06379,1538496568.17905
  25.55785,1538496570.11642
  25.42000,1538496572.21462
  26.00575,1538496574.11317
  23.63718,1538496576.16313
  24.26086,1538496578.07473
  23.71952,1538496580.14290
  27.93756,1538496582.02239
  44.69928,1538496584.19843
  50.82608,1538496586.15613
  55.12007,1538496588.19034
  59.22306,1538496590.15386
  63.93866,1538496592.13813
  62.79996,1538496594.17318
  64.00258,1538496596.16861
  76.13415,1538496598.08903
  79.85233,1538496600.15051
  78.88747,1538496602.03101
  82.89575,1538496604.13259
  86.67876,1538496606.04920
  88.69288,1538496608.09760
  89.87233,1538496610.00128
  92.88310,1538496612.07253
  95.06711,1538496614.22390
  94.62624,1538496616.08303
  94.33824,1538496618.19250
  93.56717,1538496620.11489
  92.64827,1538496622.01895
  91.10763,1538496624.18283
  88.64428,1538496626.24280
  86.03745,1538496628.10926
  84.01023,1538496630.05327
  73.01072,1538496632.01095
  65.29857,1538496634.16484
  65.64011,1538496636.08896
  59.52011,1538496638.03370
  52.76272,1538496640.14376
  49.44827,1538496642.12652
  41.54160,1538496644.02571
  36.39185,1538496646.09496
  29.93444,1538496648.10938
  34.59693,1538496650.15684
  28.00113,1538496652.03834
  23.63839,1538496654.13883
  23.94250,1538496656.04644
  27.20157,1538496658.12946
  29.70298,1538496660.00748
  39.51869,1538496662.05812
  43.17422,1538496664.01768
  47.22104,1538496666.00196
  55.12960,1538496668.00411
  61.08144,1538496670.08743
  63.50481,1538496672.13883
  70.34891,1538496674.19866
  82.63356,1538496676.09087
  84.67047,1538496678.18806
  85.81000,1538496680.03248
  87.57417,1538496682.05941
  92.53176,1538496684.23218
  92.17082,1538496686.13230
  91.65617,1538496688.04230
  92.56565,1538496690.17598
  93.10753,1538496692.06851
  93.36904,1538496694.00315
  93.82125,1538496696.14085
  93.78602,1538496698.04994
  91.44411,1538496700.16555
  90.65075,1538496702.08465
  88.54657,1538496704.02766
  83.56165,1538496706.11428
  78.11504,1538496708.04059
  74.45083,1538496710.00383
  70.50927,1538496712.13123
  67.37236,1538496714.07991
  73.42363,1538496716.01957
  68.08220,1538496718.18229
  48.95159,1538496720.07131
  58.09498,1538496722.01047
  46.43250,1538496724.14665
  31.10903,1538496726.15150
  24.91538,1538496728.10782
  22.93516,1538496730.01639
  22.79018,1538496732.09143
  23.02231,1538496734.01502
  25.05376,1538496736.11326
  25.79186,1538496738.04740
  24.06292,1538496740.14319
  34.98977,1538496742.07132
  43.73663,1538496744.24604
  56.95197,1538496746.00841
  62.76086,1538496748.03088
  67.64594,1538496750.05225
  70.52384,1538496752.12640
  76.87537,1538496754.03170
  79.29185,1538496756.17549
  82.77420,1538496758.07122
  87.12798,1538496760.16396
  89.38033,1538496762.01338
